Address,Pool token fullBalanceOf
0x6bb740b57627123ecb2debe195ea5b225b4f9ad8,564789816725501104
0xbcff81420d024627edd07ab9468aff7881805d57,571020668962031013
0xa14dcc58023eb50bc46b4621571b165b7b2cd9e4,570893002181468537
0x6dae5716a58f8d7306d4d6fb8f22b522fad031d6,569415584680363626
0xe4ac103a4edfce3fc999d75c074d51e8e229a59d,576417615286944968
0xce536fc834fe2c4cca8638b219b17c7bed3ddc08,581255581252430274
0xbb5c8245682975779f15798d70b0ca23bac7d37c,591026548314366440
0x8a9bcdc68d19e111663d6c986caf1da1eda1c304,593032286039849888
0x505428711f235aef769bc9320977c7c3cbb6cd87,601130346648749090
0x02a8f422e4623cf409b2a1a64a603b16357ea9da,603918545245695533
0x3c519c4c3231989f2af79f6cfc65de7d343009c5,6044982444667937123
0x663694857eb8a7432559f5c099a20bac59287d3a,612490977582672784808
0xd048de4000b3a9ac8ed4c2e51c3893206d78eddf,618790652490486287477
0xdd37bafeb3c24e22a76eea36a46fce4d61cc8ff0,616902967034307040
0x80b3153f39aeec1ef68adc038913698e103e6e1d,615663951720028787
0x17fd9ae8e8abc660c37855ab6ad1aa793d1d252c,625142709854219460
0x5dec02a7ebb9d1949c320303fdc2397ec7e09885,644201681934560259195
0xdcb7e8f1b586c94dde9b430557e4df6727779aca,6408411678111621951305
0x0d99d9c32d012620ee07dbf0b7a020a633c4fbcd,641462068628718811
0xeb2a38ec02b44218d371982d51ec961bd2b17321,64571369821000000000000
0xe6dec9ab1801b1e61f060dc1c76eaf1cc42710e2,654956878737819553
0x3373dd6f705e750898f678562960f99fcfbf6cbb,6727201846778425798180
0x4d9e4c43ab331142aa4465205696f0017255c56b,674427900441586370
0x54ef5a05161f0114c0f41b8ee0d269903ae7be8d,659842622492957041
0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,663605296681798710
0x1e8c000cca4d61c60255704ab827b03e8700129d,680830119954237604
0xac9e6fa8ad5214f365e99ee96227598ea1e4b20c,673803854982107883
0x1ef91043d3cdb315a5c97a03b843e6095ba6ea02,669453614126630156
0x6db499d9d4f996ad90ddc72630b2809b41f18266,674639717071800405
0x9b00e79b18fb425e82a1a21a3c66217acfda4f3a,668861135937506772
0x2f8ad7e46f984410eb9bdf4b9ecf525db20d0dd0,677251018269231839
0xef25ee29ff36862117d8ec02a4dbb69ebdb77897,683621865309985843
0x262a1482e84bb2c2bd20c7f99bfead8a0c277937,683306578899816238
0x7b4b04ce4760cc87356e8a4a69abf17cc9575f8a,686024482734708024
0x4f50d47d20380172746527bbeaa274940c38efac,689743207011951146
0xf7d2c9a3ef4f5a62a2bc0a073bc506ff98d7b892,692478558264893736
0x0e2e4ff0dcd154a9ab2dad034675841f937773f2,694117893435142506
0xa214fc5809f5dc6c91fb117853e3ca918e4e94b7,699979220222909821650
0x7c29eb01b6483e7290a621ad79a8f576107a00dd,702923038292619883
0x31ae9b3e203b82a360971cee3572fc07136b8b52,703855171202678574
0x9ac65fdbf132b8124bf9948f40a87ed254c74974,704759049731501901
0xf6f9e2eb2df8dee61f11a4e2937f9f1936bf46d6,725234836615698506
0x5eb6fcebbce8b397e501f5eb156f150441cc3c86,733566579670660231
0xe20a4f1e92dc89c17388886d37b2ed58f07e2f29,737120166395371152
0x85d572495843d4d8cc1639e0e45abeb00eb79522,734013970449684420
